threshold,accuracy,precision,recall,f1_score,predicted_positive_rate
0.2,0.71875,0.5607476635514018,0.8955223880597015,0.6896551724137931,0.5572916666666666
0.25,0.71875,0.5656565656565656,0.835820895522388,0.6746987951807228,0.515625
0.3,0.71875,0.5714285714285714,0.7761194029850746,0.6582278481012658,0.4739583333333333
0.35,0.7447916666666666,0.6216216216216216,0.6865671641791045,0.6524822695035462,0.3854166666666667
0.4,0.734375,0.6212121212121212,0.6119402985074627,0.6165413533834586,0.34375
0.45,0.7239583333333334,0.6166666666666667,0.5522388059701493,0.5826771653543307,0.3125
0.5,0.7239583333333334,0.6296296296296297,0.5074626865671642,0.5619834710743802,0.28125
0.55,0.71875,0.6326530612244898,0.4626865671641791,0.5344827586206896,0.2552083333333333
0.6,0.71875,0.6444444444444445,0.43283582089552236,0.5178571428571429,0.234375
