model,accuracy,precision,recall,f1_score,roc_auc,best_params
Logistic Regression,0.7239583333333334,0.6296296296296297,0.5074626865671642,0.5619834710743802,0.8238805970149253,
Gradient Boosting,0.7447916666666666,0.6607142857142857,0.5522388059701493,0.6016260162601627,0.8195820895522389,
Tuned Random Forest,0.7447916666666666,0.6666666666666666,0.5373134328358209,0.5950413223140496,0.8106268656716418,"{'classifier__max_depth': 6, 'classifier__min_samples_leaf': 2, 'classifier__n_estimators': 250}"
Random Forest,0.734375,0.6481481481481481,0.5223880597014925,0.5785123966942148,0.8101492537313433,
Decision Tree,0.75,0.6461538461538462,0.6268656716417911,0.6363636363636364,0.7434029850746269,
