subgroup_type,subgroup,records,outcome_rate,accuracy,precision,recall,f1_score
age_group,21-30,114,0.21052631578947367,0.7807017543859649,0.47368421052631576,0.375,0.4186046511627907
age_group,31-45,47,0.6382978723404256,0.6170212765957447,0.8,0.5333333333333333,0.64
age_group,46+,31,0.41935483870967744,0.6774193548387096,0.6,0.6923076923076923,0.6428571428571429
bmi_group,Normal/Underweight,34,0.058823529411764705,0.9705882352941176,1.0,0.5,0.6666666666666666
bmi_group,Overweight,44,0.25,0.6818181818181818,0.2,0.09090909090909091,0.125
bmi_group,Obese,112,0.48214285714285715,0.6607142857142857,0.6666666666666666,0.5925925925925926,0.6274509803921569
